rank,peak,artist,title,last_week,weeks_on_chart,no_1_weeks_no_1,no_1_last_week,no_1_last_week_weeks_at_one,no_1_weeks_on_chart
1,1,Enrique Iglesias,Be With You,NA,NA,NA,4,4LAST WEEK ,13WEEKS ON CHART
2,1,Aaliyah,Try Again,1,15,NA,NA,NA,NA
3,3,Vertical Horizon,Everything You Want,3,23,NA,NA,NA,NA
4,4,Eminem,The Real Slim Shady,6,8,NA,NA,NA,NA
5,2,Faith Hill,Breathe,2,34,NA,NA,NA,NA
6,6,Joe,I Wanna Know,10,26,NA,NA,NA,NA
7,2,Marc Anthony,You Sang To Me,5,18,NA,NA,NA,NA
8,3,Sisqo,Thong Song,7,22,NA,NA,NA,NA
9,9,'N Sync,It's Gonna Be Me,15,8,NA,NA,NA,NA
10,9, Britney Spears,Oops!...I Did It Again,9,10,NA,NA,NA,NA
11,11,Creed,Higher,13,34,NA,NA,NA,NA
12,7,P!nk,There You Go,14,17,NA,NA,NA,NA
13,13,matchbox twenty,Bent,16,9,NA,NA,NA,NA
14,5,Macy Gray,I Try,11,19,NA,NA,NA,NA
15,1,Santana Featuring The Product G&B,Maria Maria,8,20,NA,NA,NA,NA
16,2,Toni Braxton,He Wasn't Man Enough,12,15,NA,NA,NA,NA
17,17,Christina Aguilera,I Turn To You,17,11,NA,NA,NA,NA
18,18,BBMak,Back Here,21,9,NA,NA,NA,NA
19,19,Jay-Z Featuring UGK,Big Pimpin',20,10,NA,NA,NA,NA
20,20,Nine Days,Absolutely (Story Of A Girl),26,8,NA,NA,NA,NA
21,21,Westlife,Swear It Again,25,13,NA,NA,NA,NA
22,14,Red Hot Chili Peppers,Otherside,19,20,NA,NA,NA,NA
23,1,Destiny's Child,Say My Name,18,27,NA,NA,NA,NA
24,20,Carl Thomas,I Wish,23,14,NA,NA,NA,NA
25,1,Lonestar,Amazed,22,47,NA,NA,NA,NA
26,25,Goo Goo Dolls,Broadway,29,10,NA,NA,NA,NA
27,27,Chad Brock,Yes!,28,12,NA,NA,NA,NA
28,NA,Mariah Carey Featuring Snoop Dogg,Crybaby,NA,NA,NA,NA,NA,NA
29,29,Jagged Edge,Let's Get Married,33,8,NA,NA,NA,NA
30,24,Nelly,(Hot S**t) Country Grammar,24,9,NA,NA,NA,NA
31,31,Backstreet Boys,The One,37,5,NA,NA,NA,NA
32,23,Avant,Separated,32,9,NA,NA,NA,NA
33,1,Santana Featuring Rob Thomas,Smooth,30,48,NA,NA,NA,NA
34,4,'N Sync,Bye Bye Bye,27,22,NA,NA,NA,NA
35,35,Donell Jones,Where I Wanna Be,38,10,NA,NA,NA,NA
36,36,Next,Wifey,40,5,NA,NA,NA,NA
37,27, Alice Deejay,Better Off Alone,36,12,NA,NA,NA,NA
38,8,Sonique,It Feels So Good,31,23,NA,NA,NA,NA
39,24,Savage Garden,Crash And Burn,34,12,NA,NA,NA,NA
40,40,Destiny's Child,"Jumpin', Jumpin'",50,7,NA,NA,NA,NA
41,41,Lee Ann Womack,I Hope You Dance,47,7,NA,NA,NA,NA
42,27,DMX,Party Up (Up In Here),35,18,NA,NA,NA,NA
